gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YBR050C,240.5181,-2.282016,0.49230624,2.055601e-7,1.092017e-6
YBR052C,515.0375,-1.126663,0.22678862,3.943734e-7,2.001208e-6
YBR054W,167.4795,-1.272338,0.35953128,1.906817e-4,5.879893e-4
YBR056W,153.4382,-1.328563,0.27728483,7.744667e-7,3.741388e-6
YBR067C,1405.866,-1.296068,0.44316938,0.001503559,0.003831689
YBR077C,52.293,-1.021621,0.30002849,4.108442e-4,0.001185616
YBR085C-A,164.282,-2.374385,0.61869276,4.522781e-6,1.87377e-5
YBR089C-A,64.2876,-1.175471,0.2402424,5.514673e-7,2.720029e-6
YBR090C,88.36707,-1.467676,0.2831197,8.582374e-8,4.838933e-7
YBR096W,68.14106,-1.551473,0.27407939,5.357755e-9,3.827054e-8
YBR097W,138.9658,-1.454418,0.24698775,1.596411e-9,1.239417e-8
YBR104W,72.49022,-2.83507,0.40519602,2.079379e-14,3.790086e-13
YBR105C,93.77291,-1.601808,0.38330566,8.891882e-6,3.492335e-5
YBR107C,6.596827,-1.517002,0.62194788,0.003871447,0.008965532
YBR111W-A,9.718003,-2.444472,0.66107272,6.052113e-6,2.454511e-5
YBR117C,112.1933,-1.946408,0.49067637,1.019452e-5,3.97198e-5
YBR125C,54.85152,-1.309124,0.30320585,7.428723e-6,2.963547e-5
YBR126W-A,93.17302,-1.477092,0.31797289,1.295766e-6,5.955828e-6
YBR128C,133.698,-1.00309,0.25078863,4.064668e-5,1.412341e-4
YBR132C,169.0498,-3.63949,0.48547749,4.3869680000000007e-17,1.231263e-15
YBR133C,100.4785,-1.165715,0.25039747,1.802907e-6,8.030785e-6
YBR139W,151.9951,-1.806644,0.27975071,2.49581e-11,2.656195e-10
YBR144C,5.109752,-2.119199,1.00990923,0.001387449,0.003562991
YBR145W,57.06034,-2.641842,0.47126597,3.523367e-10,3.048939e-9
YBR147W,155.6888,-2.569016,0.42291798,2.917756e-11,3.079422e-10
YBR149W,112.5401,-3.027735,0.30584947,1.3566390000000001e-25,1.4106820000000003e-23
YBR159W,67.65897,-2.130972,0.31062594,7.676683e-13,1.086902e-11
YBR164C,14.2456,-1.33731,0.48636569,0.002383715,0.005786415
YBR168W,23.85785,-1.122527,0.37161701,0.001386884,0.003562982
YBR182C-A,9.506652,-1.283681,0.54632257,0.007600514,0.01634794
YBR194W,22.22409,-1.299619,0.38361604,3.192788e-4,9.442093e-4
YBR195C,40.05144,-2.024244,0.33936275,3.464329e-10,3.01017e-9
YBR201C-A,5.762446,-2.206026,0.74486844,1.489383e-4,4.681446e-4
YBR201W,79.26677,-1.916614,0.28861258,5.882336e-12,6.948167e-11
YBR204C,32.30248,-1.804451,0.38017978,4.466369e-7,2.23954e-6
YBR210W,33.45073,-2.184362,0.38533468,1.275867e-9,1.00532e-8
YBR211C,96.94118,-1.708119,0.24222375,5.056498e-13,7.438065e-12
YBR221C,37.46738,-1.600885,0.34720938,1.258982e-6,5.807635e-6
YBR223C,35.19882,-1.272567,0.26974285,1.188188e-6,5.521376e-6
YBR225W,207.116,-1.340577,0.19418663,2.428771e-12,3.124887e-11
YBR230C,279.7449,-3.832028,0.35131107,5.358909e-31,1.477894e-28
YBR230W-A,36.39179,-2.403166,0.33810724,5.568831e-14,9.469999e-13
YBR240C,10.45276,-1.317443,0.58224184,0.008815891,0.01865217
YBR241C,261.4828,-1.558554,0.3443682,2.013443e-6,8.887451e-6
YBR251W,61.88829,-1.365932,0.34024762,2.571967e-5,9.269312e-5
YBR256C,209.8669,-1.738324,0.37098553,6.849581e-7,3.334374e-6
YBR270C,46.42496,-1.350407,0.27437405,3.918649e-7,1.990071e-6
YBR280C,72.4515,-1.721088,0.47711954,6.957483e-5,2.308123e-4
YBR285W,62.04554,-3.079124,0.44808786,1.840774e-14,3.374574e-13
YBR287W,240.0513,-1.030406,0.2745479,1.08669e-4,3.491831e-4
YBR294W,11.83614,-1.250959,0.4510426,0.002533344,0.006119193
YBR296C,9.354498,-1.604797,0.64611615,0.002838224,0.00678329
YBR297W,1012.199,-4.163011,0.40107118,2.899916e-28,4.804173e-26
YBR298C,1007.116,-2.758162,0.31117133,8.878645e-21,5.028325e-19
YBR299W,2349.121,-4.444525,0.41843712,4.924323e-29,1.00758e-26
YCL002C,38.97277,-2.005583,0.31079716,1.667707e-11,1.842904e-10
YCL012C,75.89382,-1.559962,0.4477334,1.500676e-4,4.714606e-4
YCL025C,1497.969,-1.509047,0.2711163,9.825712e-9,6.68001e-8
YCL030C,126.6891,-2.473623,0.43503526,4.289995e-10,3.66731e-9
YCL038C,60.63691,-2.480072,0.33776762,7.498209e-15,1.477054e-13
YCL039W,95.85819,-1.34084,0.24720675,2.728569e-8,1.691819e-7
YCL040W,306.0073,-2.367259,0.29774738,1.033909e-16,2.8026e-15
YCL042W,40.6678,-2.770371,0.5860066,2.243871e-8,1.41903e-7
YCL048W,8.007048,-1.099806,0.49908112,0.01435818,0.02872994
YCL049C,107.6068,-2.059073,0.22311925,3.962304e-21,2.4166239999999997e-19
YCR003W,291.755,-1.682591,0.22932314,6.556151e-14,1.09436e-12
YCR005C,361.4325,-3.555473,0.35124344,2.475251e-27,3.4890030000000003e-25
YCR006C,12.90439,-2.841865,0.56152898,3.184303e-9,2.34316e-8
YCR007C,40.70344,-1.500202,0.3698577,1.775935e-5,6.57988e-5
YCR010C,24.73801,-4.552727,0.6399781,1.790342e-15,3.92946e-14
YCR011C,330.1446,-1.756636,0.17601178,5.093991e-24,4.68278e-22
YCR012W,577.0671,-1.513517,0.4757843,4.644315e-4,0.001318071
YCR020C-A,27.68464,-3.648629,0.62385163,4.291043e-12,5.194291e-11
YCR021C,1098.399,-2.702283,0.8014353,8.449502e-6,3.324764e-5
