gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YNL149C,158.2803,1.326227,0.26075624,1.727405e-7,9.348918e-7
YNL151C,134.6094,1.703347,0.28149852,4.046584e-10,3.474767e-9
YNL154C,415.6728,1.506721,0.21931143,2.493049e-12,3.201095e-11
YNL162W-A,3.235897,1.475102,0.77128686,0.01242095,0.02535234
YNL166C,132.9851,1.317123,0.25636403,1.330097e-7,7.310923e-7
YNL175C,249.8638,2.187731,0.34802975,2.99139e-11,3.151892e-10
YNL178W,1328.02,1.308746,0.46688483,0.002131142,0.005233386
YNL181W,110.1169,1.522727,0.21801931,1.090519e-12,1.507006e-11
YNL186W,1141.617,1.030386,0.22021336,1.824184e-6,8.119857e-6
YNL187W,25.98136,1.236107,0.3299196,8.990215e-5,2.931873e-4
YNL188W,91.78023,1.833384,0.22607568,1.180954e-16,3.160672e-15
YNL191W,52.24798,1.266188,0.2916904,7.040916e-6,2.830198e-5
YNL204C,22.39137,1.602835,0.41902187,3.827592e-5,1.335446e-4
YNL207W,21.40582,1.504345,0.47872309,5.360136e-4,0.001501075
YNL209W,107.4374,1.482485,0.49366789,8.692257e-4,0.002336228
YNL210W,4.944853,1.960851,0.77295921,9.440571e-4,0.002520267
YNL225C,149.7619,1.026684,0.21339334,9.540236e-7,4.512581e-6
YNL227C,259.1781,1.76021,0.19084955,7.804347e-21,4.541557e-19
YNL232W,425.8475,1.282555,0.25085616,1.579403e-7,8.584536e-7
YNL233W,332.9407,1.055711,0.22510519,1.692795e-6,7.599007e-6
YNL243W,128.5877,1.336056,0.21080399,1.113531e-10,1.043298e-9
YNL247W,160.5462,1.595381,0.24260557,1.644162e-11,1.820056e-10
YNL248C,58.44259,2.524921,0.32986256,5.900914e-16,1.396623e-14
YNL254C,109.8072,1.671896,0.20033295,2.199717e-17,6.550613e-16
YNL256W,76.34122,1.418613,0.25823396,1.677346e-8,1.083443e-7
YNL262W,282.0876,2.088787,0.24836126,5.3899340000000005e-18,1.780643e-16
YNL273W,108.2676,2.261799,0.23149537,1.252092e-23,1.073246e-21
YNL290W,47.19108,1.671129,0.31592311,3.53583e-8,2.138014e-7
YNL292W,64.63331,1.907362,0.29418105,1.712403e-11,1.879199e-10
YNL294C,143.6393,1.159772,0.19221662,9.172026e-10,7.373658e-9
YNL298W,40.62943,1.739382,0.31531671,8.92326e-9,6.112337e-8
YNL299W,119.6616,1.666208,0.31711069,4.316313e-8,2.573156e-7
YNL300W,9.808583,1.678231,0.8970727,0.007356156,0.0158924
YNL304W,56.66554,1.721192,0.31028591,7.752956e-9,5.392215e-8
YNL308C,1166.819,1.513493,0.33537781,2.296986e-6,1.005247e-5
YNL309W,27.46819,1.230837,0.31178311,4.018104e-5,1.398838e-4
YNL312W,28.94041,1.211803,0.34217942,2.033873e-4,6.241343e-4
YNL313C,60.9627,1.379475,0.21515325,6.550261e-11,6.401896e-10
YNR012W,59.50638,1.531322,0.24830794,2.580674e-10,2.273502e-9
YNR013C,60.97849,1.117767,0.30040974,1.134011e-4,3.636518e-4
YNR029C,23.196,1.316414,0.34495434,6.178392e-5,2.074618e-4
YNR030W,494.8654,1.671716,0.19281816,1.347748e-18,4.999279e-17
YNR038W,92.57535,1.850768,0.27792231,5.968205e-12,7.036491e-11
YNR051C,667.102,1.232466,0.21758307,7.825161e-9,5.42459e-8
YNR053C,407.3922,1.622922,0.30790071,4.24846e-8,2.537475e-7
YNR054C,190.6054,2.092953,0.29605692,1.944544e-13,3.07587e-12
YNR065C,156.4812,1.828721,0.28230301,2.097136e-11,2.269988e-10
YNR066C,87.6252,1.108425,0.26673567,1.89431e-5,6.985819e-5
YNR068C,31.69914,1.009466,0.34511265,0.002124389,0.005218822
YOL006C,580.757,1.75152,0.23079312,8.638848e-15,1.675725e-13
YOL010W,56.52088,1.88095,0.33303345,3.162655e-9,2.329933e-8
YOL017W,60.69256,1.696985,0.35380484,4.326831e-7,2.176454e-6
YOL019W,134.5237,1.065948,0.32104,5.333029e-4,0.001496788
YOL022C,174.0212,1.13305,0.20188773,1.166448e-8,7.788186e-8
YOL028C,27.51843,1.429985,0.3896651,9.343093e-5,3.031368e-4
YOL029C,59.94559,2.053761,0.36225451,1.841349e-9,1.415718e-8
YOL034W,294.7972,1.338375,0.187384,4.412906e-13,6.570673e-12
YOL036W,122.9565,1.421019,0.1923699,6.5768e-14,1.094925e-12
YOL039W,554.432,1.547872,0.34501824,2.461149e-6,1.067059e-5
YOL040C,300.0386,1.604872,0.52298991,5.582201e-4,0.001558446
YOL041C,381.0848,2.332769,0.25947474,1.596596e-20,8.510257999999999e-19
YOL045W,123.064,1.11426,0.19411916,5.631376e-9,4.008958e-8
YOL066C,29.86472,1.488789,0.38832548,4.492935e-5,1.54716e-4
YOL067C,4.560677,1.241802,0.65828905,0.02241526,0.04272236
YOL070C,100.6912,1.137876,0.19881167,6.07997e-9,4.296646e-8
YOL071W,101.2915,1.027744,0.28331525,1.778619e-4,5.505994e-4
YOL077C,102.2571,1.93133,0.30978416,8.133669e-11,7.781578e-10
YOL080C,19.63275,1.952644,0.42536974,6.668103e-7,3.253521e-6
YOL090W,143.8776,1.660371,0.31439661,3.773099e-8,2.274978e-7
YOL091W,21.99823,1.732862,0.34455563,1.251152e-7,6.910487e-7
YOL093W,84.20144,2.291414,0.32450606,1.143953e-13,1.846334e-12
YOL095C,31.41781,1.029334,0.2972831,3.306429e-4,9.71407e-4
YOL112W,133.2995,1.3935,0.19307765,2.395389e-13,3.742354e-12
YOL120C,412.3985,1.143218,0.55276024,0.01841873,0.0359035
YOL132W,16.16027,1.054911,0.38967062,0.003941049,0.009106765
YOL139C,20.99251,1.043617,0.41903009,0.007376019,0.01591905
YOL144W,216.5804,1.929867,0.27931099,8.996839e-13,1.265343e-11
YOL145C,609.7811,1.124011,0.18213207,4.008296e-10,3.449745e-9
YOR004W,235.5059,1.904182,0.29730494,2.890311e-11,3.055541e-10
YOR017W,262.3292,1.183922,0.15283899,5.362087e-15,1.07632e-13
YOR020C,385.8711,1.678619,0.39693132,6.220082e-6,2.519411e-5
YOR025W,48.40838,1.066423,0.34231221,0.001079344,0.00284787
YOR027W,801.4677,1.889757,0.21669552,5.799378999999999e-19,2.326512e-17
YOR033C,127.2613,1.36736,0.25189814,2.580602e-8,1.607933e-7
YOR048C,266.1733,1.290918,0.22832447,7.810248e-9,5.420175e-8
YOR056C,394.3023,1.655476,0.22403072,4.634535e-14,8.076059e-13
YOR058C,136.9278,1.470858,0.17980637,1.173119e-16,3.160672e-15
YOR061W,104.9553,1.264716,0.20047575,1.455683e-10,1.342063e-9
YOR066W,109.969,1.35933,0.21717524,1.799417e-10,1.630529e-9
YOR073W,126.5173,1.915604,0.29232527,1.062086e-11,1.222652e-10
YOR076C,98.57702,1.117139,0.24837873,4.005327e-6,1.674739e-5
YOR077W,20.31302,1.298878,0.41157605,7.118049e-4,0.001941926
YOR078W,162.2291,2.076137,0.2708061,2.358022e-15,5.070148e-14
YOR080W,135.5945,1.041392,0.221882,1.684412e-6,7.5774e-6
YOR091W,317.0695,2.19657,0.27980997,3.996998e-16,9.676702e-15
YOR094W,65.82189,1.053453,0.21538526,6.240797e-7,3.054427e-6
YOR104W,223.3668,1.283142,0.21917526,2.411548e-9,1.814526e-8
YOR112W,62.13727,1.30263,0.26934207,6.384087e-7,3.119743e-6
YOR119C,323.4786,1.358648,0.30212965,3.073663e-6,1.307595e-5
YOR126C,23.34062,1.270853,0.34946454,1.321234e-4,4.184016e-4
YOR127W,393.9237,2.182271,0.16668528,3.987758e-40,2.767475e-37
YOR145C,134.0263,1.661468,0.24570494,4.186673e-12,5.097134e-11
YOR162C,86.55341,1.028642,0.24823748,2.147024e-5,7.826766e-5
YOR168W,529.6406,1.243853,0.1631472,1.312219e-14,2.484599e-13
YOR183W,3.46502,1.693592,0.84862691,0.005898179,0.01304014
YOR188W,137.108,1.537938,0.20859385,6.264086e-14,1.048367e-12
YOR189W,21.48625,1.046315,0.31003652,4.476106e-4,0.001276616
YOR195W,432.1176,1.488059,0.24630378,5.998765e-10,4.986915e-9
YOR198C,1022.679,1.278723,0.17700124,2.586713e-13,3.992098e-12
YOR206W,1086.243,1.896629,0.29848949,4.083404e-11,4.169217e-10
YOR210W,42.58242,1.194381,0.26211943,2.808698e-6,1.204569e-5
YOR216C,206.763,1.126261,0.21069222,5.282998e-8,3.094188e-7
YOR217W,210.2266,1.239839,0.24325504,1.799344e-7,9.705133e-7
YOR236W,18.47055,1.62318,0.43059247,4.581857e-5,1.572658e-4
YOR239W,530.168,1.138491,0.19413098,2.624576e-9,1.963171e-8
YOR242C,31.56092,3.367956,0.39538103,1.552633e-20,8.417391999999999e-19
YOR243C,138.0788,1.637998,0.22989729,3.352273e-13,5.050706e-12
YOR247W,27.22156,1.612102,0.56706347,0.00108194,0.002853532
YOR252W,15.97494,1.540021,0.44399332,1.645198e-4,5.112931e-4
YOR260W,98.24432,1.477526,0.2276322,3.432614e-11,3.575217e-10
YOR265W,202.644,1.38629,0.22251542,2.097317e-10,1.876344e-9
YOR272W,108.3538,2.068619,0.28869497,1.037084e-13,1.68241e-12
YOR276W,134.3684,1.193068,0.35263021,3.709143e-4,0.001077248
YOR281C,41.28344,1.413589,0.30551103,1.546823e-6,6.988246e-6
YOR283W,28.41076,2.027354,0.40850901,9.00176e-8,5.066385e-7
